순번,금융회사 명,금융 상품명,가입 방법,대출종류 코드,대출종류명,CB 회사명,공시 시작일,공시 제출월,공시 종료일,900점 초과,801~900점,701~800점,601~700점,501~600점,401~500점,301~400점,300점 이하,평균 금리
136,농협은행주식회사,가계신용대출(일반),영업점,1,일반신용대출,KCB,20240718,202407,,3.56,3.52,3.49,3.52,3.55,3.58,3.59,3.61,3.54
137,농협은행주식회사,가계신용대출(일반),영업점,1,일반신용대출,KCB,20240718,202407,,2.9,3.73,4.68,5.64,6.62,7.74,9.33,5.16,3.25
138,농협은행주식회사,가계신용대출(일반),영업점,1,일반신용대출,KCB,20240718,202407,,1.13,0.95,1,0.95,0.61,0.27,0.4,0.4,1.08
139,농협은행주식회사,가계신용대출(마이너스대출),영업점,2,마이너스한도대출,KCB,20240718,202407,,1.16,0.83,0.72,1.37,1.28,,,,1.12
140,농협은행주식회사,가계신용대출(마이너스대출),영업점,2,마이너스한도대출,KCB,20240718,202407,,3.01,3.12,2.94,5.43,3.88,,,,3.02
141,농협은행주식회사,가계신용대출(마이너스대출),영업점,2,마이너스한도대출,KCB,20240718,202407,,3.58,3.58,3.57,3.61,3.6,,,,3.58
142,농협은행주식회사,가계신용대출(마이너스대출),영업점,2,마이너스한도대출,KCB,20240718,202407,,5.43,5.87,5.79,7.67,6.2,,,,5.48
143,농협은행주식회사,장기카드대출,"인터넷,스마트폰,전화(텔레뱅킹)",3,장기카드대출(카드론),KCB,20240721,202407,,12.58,13.05,15.01,17.61,19.14,,,,14.94
144,하나은행,일반신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240722,202407,,5.29,6.06,6.93,8.23,9.64,11.37,10.29,10.49,5.63
145,하나은행,일반신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240722,202407,,3.49,3.53,3.53,3.54,3.56,3.59,3.56,3.55,3.5
146,하나은행,일반신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240722,202407,,3.87,4.59,5.57,6.97,8.88,11.5,8.42,9.96,4.21
147,하나은행,일반신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240722,202407,,2.07,2.06,2.17,2.28,2.8,3.72,1.69,3.02,2.08
148,하나은행,마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240722,202407,,1.57,1.48,1.69,1.85,2.45,2.47,,2.51,1.57
149,하나은행,마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240722,202407,,3.7,3.85,3.89,3.54,3.38,3.4,,3.44,3.73
150,하나은행,마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240722,202407,,3.52,3.54,3.54,3.58,3.55,3.54,,3.56,3.52
151,하나은행,마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240722,202407,,5.65,5.91,5.74,5.27,4.48,4.47,,4.49,5.68
152,주식회사 케이뱅크,직장인K신용대출,스마트폰,1,일반신용대출,KCB,20240718,202407,20240818,5.23,6.04,6.54,7.09,,,,,5.99
153,주식회사 케이뱅크,직장인K신용대출,스마트폰,1,일반신용대출,KCB,20240718,202407,20240818,3.61,3.57,3.57,3.57,,,,,3.58
154,주식회사 케이뱅크,직장인K신용대출,스마트폰,1,일반신용대출,KCB,20240718,202407,20240818,1.62,2.47,2.97,3.52,,,,,2.41
155,주식회사 케이뱅크,직장인K마이너스통장,스마트폰,2,마이너스한도대출,KCB,20240718,202407,20240818,5.13,6.82,7.18,7.52,,,,,6.86
156,주식회사 케이뱅크,직장인K마이너스통장,스마트폰,2,마이너스한도대출,KCB,20240718,202407,20240818,3.59,3.57,3.58,3.58,,,,,3.57
157,주식회사 케이뱅크,직장인K마이너스통장,스마트폰,2,마이너스한도대출,KCB,20240718,202407,20240818,1.54,3.25,3.6,3.94,,,,,3.29
158,수협은행,개인신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240719,202407,,1.36,0.86,0.77,,,,,,1.31
159,수협은행,개인신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240719,202407,,3.21,3.38,3.77,,,6.94,,,3.23
160,수협은행,개인신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240719,202407,,3.19,3.19,3.35,,,3.53,,,3.19
161,수협은행,개인신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240719,202407,,5.04,5.71,6.35,,,10.47,,,5.11
162,수협은행,개인신용마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,5.77,6.13,6.44,,,,,,5.82
163,수협은행,개인신용마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,3.18,3.18,3.18,,,,,,3.18
164,수협은행,개인신용마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,3.14,3.36,3.51,,,,,,3.17
165,수협은행,개인신용마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,0.55,0.41,0.25,,,,,,0.53
166,주식회사 카카오뱅크,일반신용대출,스마트폰,1,일반신용대출,KCB,20240718,202407,,1.95,2.62,3.48,4.22,1.66,,,,2.39
167,주식회사 카카오뱅크,일반신용대출,스마트폰,1,일반신용대출,KCB,20240718,202407,,3.58,3.58,3.58,3.58,3.58,,,,3.58
168,주식회사 카카오뱅크,일반신용대출,스마트폰,1,일반신용대출,KCB,20240718,202407,,5.53,6.2,7.06,7.8,5.24,,,,5.97
169,주식회사 카카오뱅크,마이너스한도대출,스마트폰,2,마이너스한도대출,KCB,20240718,202407,,6.1,7.86,8.4,8.38,7.93,,,,6.76
170,주식회사 카카오뱅크,마이너스한도대출,스마트폰,2,마이너스한도대출,KCB,20240718,202407,,3.57,3.52,3.52,3.55,3.51,,,,3.56
171,주식회사 카카오뱅크,마이너스한도대출,스마트폰,2,마이너스한도대출,KCB,20240718,202407,,2.53,4.34,4.88,4.83,4.42,,,,3.2
172,토스뱅크 주식회사,토스뱅크 마이너스 통장대출,스마트폰,2,마이너스한도대출,KCB,20240718,202407,,6.15,6.82,7.7,7.68,,,,,6.22
173,토스뱅크 주식회사,토스뱅크 마이너스 통장대출,스마트폰,2,마이너스한도대출,KCB,20240718,202407,,3.57,3.57,3.58,3.55,,,,,3.56
174,토스뱅크 주식회사,토스뱅크 마이너스 통장대출,스마트폰,2,마이너스한도대출,KCB,20240718,202407,,2.58,3.25,4.12,4.13,,,,,2.66
175,토스뱅크 주식회사,토스뱅크 신용대출,스마트폰,1,일반신용대출,KCB,20240718,202407,,5.94,7.32,8.84,10.41,10.97,12.63,,,6.37
176,토스뱅크 주식회사,토스뱅크 신용대출,스마트폰,1,일반신용대출,KCB,20240718,202407,,3.56,3.56,3.57,3.57,3.56,3.59,,,3.55
177,토스뱅크 주식회사,토스뱅크 신용대출,스마트폰,1,일반신용대출,KCB,20240718,202407,,2.38,3.76,5.27,6.84,7.41,9.04,,,2.81
178,애큐온저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240715,202407,,15.35,16.38,17.02,17.33,,,,,16.98
179,애큐온저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240715,202407,,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53
180,애큐온저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240715,202407,,10.82,11.85,12.49,12.8,,,,,12.45
181,오에스비저축은행,개인신용대출,"인터넷,스마트폰",1,일반신용대출,NICE,20240715,202407,,17.93,16.84,17.39,18.59,18.8,,,,17.3
182,오에스비저축은행,개인신용대출,"인터넷,스마트폰",1,일반신용대출,NICE,20240715,202407,,2.56,2.56,2.56,2.56,2.56,,,,2.56
183,오에스비저축은행,개인신용대출,"인터넷,스마트폰",1,일반신용대출,NICE,20240715,202407,,15.37,14.28,14.83,16.03,16.24,,,,14.74
184,디비저축은행,개인신용대출,"스마트폰,모집인",1,일반신용대출,NICE,20240715,202407,,12.07,12.1,12.61,,,,,,12.36
185,디비저축은행,개인신용대출,"스마트폰,모집인",1,일반신용대출,NICE,20240715,202407,,4.49,4.49,4.49,,,,,,4.49
186,디비저축은행,개인신용대출,"스마트폰,모집인",1,일반신용대출,NICE,20240715,202407,,7.58,7.61,8.12,,,,,,7.87
187,키움예스저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240715,202407,,9.12,8.74,9.12,8.83,,,,,9.01
188,키움예스저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240715,202407,,4.84,4.84,4.84,4.84,,,,,4.84
189,키움예스저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240715,202407,,13.96,13.58,13.96,13.67,,,,,13.85
190,에스비아이저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,13.2,14.43,14.93,15.45,16.66,,,,14.89
191,에스비아이저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,3.33,3.33,3.32,3.32,3.24,,,,3.32
192,에스비아이저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,9.87,11.1,11.61,12.13,13.42,,,,11.57
193,다올저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,14.46,15.8,17.2,18.98,,,,,16.81
194,다올저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,4.34,4.34,4.34,4.34,,,,,4.34
195,다올저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,10.12,11.46,12.86,14.64,,,,,12.47
196,고려저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,KCB,20240710,202407,,13.92,14.8,15.15,15.92,16.37,,,,15.71
197,고려저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,KCB,20240710,202407,,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87
198,고려저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,KCB,20240710,202407,,9.05,9.93,10.28,11.05,11.5,,,,10.84
199,모아저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240715,202407,,15.3,15.27,15.29,15.3,,,,,15.29
200,모아저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240715,202407,,4.6,4.6,4.6,4.6,,,,,4.6
201,모아저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240715,202407,,19.9,19.87,19.89,19.9,,,,,19.89
202,키움저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240715,202407,,14.67,14.7,15.62,15.75,,,,,15.41
203,키움저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240715,202407,,4.26,4.26,4.26,4.26,,,,,4.26
204,키움저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240715,202407,,10.41,10.44,11.36,11.49,,,,,11.15
205,세람상호저축은행,개인신용대출,"스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,12.28,13.8,13.8,17.81,,,18.49,19.9,17.44
206,세람상호저축은행,개인신용대출,"스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,3.9,3.9,3.9,3.9,,,3.9,3.9,3.9
207,세람상호저축은행,개인신용대출,"스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,8.38,9.9,9.9,13.91,,,14.59,16,13.54
208,페퍼저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",1,일반신용대출,NICE,20240715,202407,,11.52,14.54,15.82,17.71,,,,,15.46
209,페퍼저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",1,일반신용대출,NICE,20240715,202407,,4.08,4.08,4.08,4.08,,,,,4.08
210,페퍼저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",1,일반신용대출,NICE,20240715,202407,,7.44,10.46,11.74,13.63,,,,,11.38
211,한화저축은행,개인신용대출,"스마트폰,모집인",1,일반신용대출,KCB,20240715,202407,,6.92,7.36,8.05,9.55,,,,,8.52
212,한화저축은행,개인신용대출,"스마트폰,모집인",1,일반신용대출,KCB,20240715,202407,,4.73,4.73,4.73,4.73,,,,,4.73
213,한화저축은행,개인신용대출,"스마트폰,모집인",1,일반신용대출,KCB,20240715,202407,,11.65,12.09,12.78,14.28,,,,,13.25
214,우리금융저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,KCB,20240718,202407,,12.07,12.95,12.84,13.72,15.02,,,,13.07
215,우리금융저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,KCB,20240718,202407,,4.68,4.68,4.68,4.68,4.68,4.68,,,4.68
216,우리금융저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,KCB,20240718,202407,,7.39,8.27,8.16,9.04,10.34,,,,8.39
217,한성저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240712,202407,,16.29,17,18.04,18.05,,,,,17.65
218,한성저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240712,202407,,4.14,4.14,4.14,4.14,,,,,4.14
219,한성저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240712,202407,,12.15,12.86,13.9,13.91,,,,,13.51
220,상상인플러스저축은행,개인신용대출,모집인,1,일반신용대출,NICE,20240715,202407,,16.39,17.93,19.39,19.84,,,,,19.27
221,상상인플러스저축은행,개인신용대출,모집인,1,일반신용대출,NICE,20240715,202407,,4.42,4.42,4.42,4.42,,,,,4.42
222,상상인플러스저축은행,개인신용대출,모집인,1,일반신용대출,NICE,20240715,202407,,11.97,13.51,14.97,15.42,,,,,14.85
223,스타저축은행,개인신용대출,인터넷,1,일반신용대출,NICE,20240710,202407,,2.32,10.13,12.83,14.78,,,15.12,15.12,12.53
224,스타저축은행,개인신용대출,인터넷,1,일반신용대출,NICE,20240710,202407,,4.58,4.58,4.58,4.58,,,4.58,4.58,4.58
225,스타저축은행,개인신용대출,인터넷,1,일반신용대출,NICE,20240710,202407,,6.9,14.71,17.41,19.36,,,19.7,19.7,17.11
226,동양저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240712,202407,,,16.27,16.3,,,,,,16.29
227,동양저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240712,202407,,,3.93,3.93,,,,,,3.93
228,동양저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240712,202407,,,12.34,12.37,,,,,,12.36
229,스마트저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240716,202407,,15.86,15.68,16.43,16.87,,,,,16.22
230,스마트저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240716,202407,,4.99,4.99,4.99,4.99,,,,,4.99
231,스마트저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240716,202407,,10.87,10.69,11.44,11.88,,,,,11.23
232,한국투자저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,14.59,15.37,15.96,16.2,16.35,,,,15.87
233,한국투자저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,4.34,4.34,4.34,4.34,4.34,4.34,,,4.34
234,한국투자저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,10.25,11.03,11.62,11.86,12.01,,,,11.53
235,예가람저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",1,일반신용대출,NICE,20240715,202407,,7.4,9.36,10.86,11.29,11.89,,,,10.45
236,예가람저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",1,일반신용대출,NICE,20240715,202407,,4.8,4.8,4.8,4.8,4.8,,,,4.8
237,예가람저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",1,일반신용대출,NICE,20240715,202407,,12.2,14.16,15.66,16.09,16.69,,,,15.25
238,제이티저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,13.68,14.15,15.41,15.27,,,,,15.2
239,제이티저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,4.63,4.63,4.63,4.63,4.63,,,,4.63
240,제이티저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,9.05,9.52,10.78,10.64,,,,,10.57
241,삼호저축은행,개인신용대출,"영업점,인터넷,모집인",1,일반신용대출,NICE,20240715,202407,,15.77,18.43,18.72,19.04,,,,,18.66
242,삼호저축은행,개인신용대출,"영업점,인터넷,모집인",1,일반신용대출,NICE,20240715,202407,,2.6,2.6,2.6,2.6,,,,,2.6
243,삼호저축은행,개인신용대출,"영업점,인터넷,모집인",1,일반신용대출,NICE,20240715,202407,,13.17,15.83,16.12,16.44,,,,,16.06
244,엔에이치저축은행,개인신용대출,"인터넷,스마트폰",1,일반신용대출,NICE,20240712,202407,,10.51,11.11,12.21,13.42,,,,,11.81
245,엔에이치저축은행,개인신용대출,"인터넷,스마트폰",1,일반신용대출,NICE,20240712,202407,,4.03,4.03,4.03,4.03,,,,,4.03
246,엔에이치저축은행,개인신용대출,"인터넷,스마트폰",1,일반신용대출,NICE,20240712,202407,,6.48,7.08,8.18,9.39,,,,,7.78
247,아이비케이저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240712,202407,,9.15,9.86,11.6,10.1,,,,,10.96
248,아이비케이저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240712,202407,,4.2,4.2,4.2,4.2,,,,,4.2
249,아이비케이저축은행,개인신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,NICE,20240712,202407,,13.35,14.06,15.8,14.3,,,,,15.16
250,비엔케이저축은행,개인신용대출,,1,일반신용대출,NICE,20240715,202407,,13.2,14.25,16.25,17.64,17.15,,,,15.7
251,비엔케이저축은행,개인신용대출,,1,일반신용대출,NICE,20240715,202407,,4.75,4.75,4.75,4.75,4.75,,,,4.75
252,비엔케이저축은행,개인신용대출,,1,일반신용대출,NICE,20240715,202407,,8.45,9.5,11.5,12.89,12.4,,,,10.95
253,케이비저축은행,개인신용대출,"인터넷,스마트폰,모집인,기타",1,일반신용대출,NICE,20240715,202407,,13.57,15,15.8,16.28,,,,,15.56
254,케이비저축은행,개인신용대출,"인터넷,스마트폰,모집인,기타",1,일반신용대출,NICE,20240715,202407,,3.83,3.83,3.83,3.83,,,,,3.83
255,케이비저축은행,개인신용대출,"인터넷,스마트폰,모집인,기타",1,일반신용대출,NICE,20240715,202407,,9.74,11.17,11.97,12.45,,,,,11.73
256,하나저축은행,개인신용대출,스마트폰,1,일반신용대출,NICE,20240715,202407,,12.65,13.43,14.44,15.09,,,,,13.8
257,하나저축은행,개인신용대출,스마트폰,1,일반신용대출,NICE,20240715,202407,,3.92,3.92,3.92,3.92,,,,,3.92
258,하나저축은행,개인신용대출,스마트폰,1,일반신용대출,NICE,20240715,202407,,8.73,9.51,10.52,11.17,,,,,9.88
259,제이티친애저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,10.97,10.01,10.34,10.42,,,,,10.29
260,제이티친애저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,4.65,4.65,4.65,4.65,,,,,4.65
261,제이티친애저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,15.62,14.66,14.99,15.07,,,,,14.94
262,신한저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240712,202407,,13.77,16.16,16.86,16.88,18.7,,,,16.66
263,신한저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240712,202407,,3.95,3.95,3.95,3.95,3.95,,,,3.95
264,신한저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240712,202407,,9.82,12.21,12.91,12.93,14.75,,,,12.71
265,웰컴저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,16.11,16.78,16.9,16.86,16.35,,19.57,19.78,17.59
266,웰컴저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,4.4,4.4,4.4,4.4,4.4,,4.4,4.4,4.4
267,웰컴저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240715,202407,,11.71,12.38,12.5,12.46,11.95,,15.17,15.38,13.19
268,오케이저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",1,일반신용대출,NICE,20240715,202407,,14.79,16.43,17.83,18.68,16.43,,,,17.48
269,오케이저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",1,일반신용대출,NICE,20240715,202407,,4.38,4.38,4.38,4.38,4.38,,,,4.38
270,오케이저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",1,일반신용대출,NICE,20240715,202407,,10.41,12.05,13.45,14.3,12.05,,,,13.1
