연도,분기,생산자물가지수,국내총생산(명목GDP),경제성장률(실질GDP성장률),실업률,소비자물가지수,기준금리
2000,1,76.31,158119.1,12.7,5.5,62.688,5
2000,2,75.78,166291.6,9.1,4.2,62.604,5
2000,3,76,172348,9.1,4,63.446,5
2000,4,76.1,178973.9,5.9,4,63.866,5.25
2001,1,76.32,171543.8,5,5.2,65.004,5
2001,2,76.19,182686.3,4.9,3.8,65.761,5
2001,3,75.6,186342.4,3.4,3.5,66.14,4.5
2001,4,74.63,192150.6,5.6,3.5,65.972,4
2002,1,74.78,189348.1,7.4,4,66.645,4
2002,2,75.8,201987.5,7.5,3.2,67.529,4.25
2002,3,75.48,204544.8,8.1,3,67.803,4.25
2002,4,75.82,217345,8,2.9,68.16,4.25
2003,1,76.97,203855.5,4.1,3.8,69.361,4.25
2003,2,76.81,213312.6,2.3,3.4,69.761,4
2003,3,76.85,217023.7,2,3.5,69.951,3.75
2003,4,77.79,233918.8,4,3.6,70.561,3.75
2004,1,80.24,221439,5.7,4,71.613,3.75
2004,2,81.58,233988.7,6.6,3.5,72.14,3.75
2004,3,82.51,237894.7,5.2,3.5,72.981,3.5
2004,4,82.85,249562.9,3.4,3.6,72.939,3.25
2005,1,83.39,232930.2,3.1,4.2,73.941,3.25
2005,2,83.24,245149.1,3.9,3.7,74.288,3.25
2005,3,83.6,252123.2,5,3.6,74.686,3.25
2005,4,83.9,264973,5.3,3.5,74.735,3.75
2006,1,83.94,245939.4,6.3,3.9,75.48,4
2006,2,84.17,256657.9,4.9,3.4,75.951,4.25
2006,3,84.89,265452,5.1,3.3,76.571,4.5
2006,4,84.17,277613.9,4.8,3.3,76.323,4.5
2007,1,84.14,262840.6,5,3.6,76.992,4.5
2007,2,85.37,279448.7,5.9,3.2,77.811,4.5
2007,3,85.85,287126.9,5.5,3.1,78.332,4.75
2007,4,86.64,305125.1,6.8,3,78.902,5
2008,1,88.4,282986,5.8,3.4,79.919,5
2008,2,93.06,301655.9,4.4,3.1,81.581,5
2008,3,96.2,307532.5,4,3.1,82.673,5.25
2008,4,93.59,310798.5,-1.7,3.1,82.449,4
2009,1,92.1,289974.1,-2.1,3.8,83.045,2.5
2009,2,92.15,310111.6,-1.3,3.8,83.837,2
2009,3,93.18,321503.6,1.1,3.6,84.31,2
2009,4,93.04,333716.1,5.4,3.3,84.434,2
2010,1,94.12,321659.3,7.9,4.6,85.523,2
2010,2,95.73,343653.6,8.1,3.5,86.07,2
2010,3,96.69,348551.6,5.8,3.5,86.733,2.25
2010,4,98.04,365595.7,6.3,3.3,87.165,2.5
2011,1,101.18,342918,5.4,4.2,88.806,3
2011,2,103,358489.5,3.8,3.4,89.497,3.25
2011,3,103.2,364251.9,3.1,3.1,90.476,3.25
2011,4,103.01,382916.3,2.6,2.9,90.62,3.25
2012,1,104.15,360806.9,2.5,3.8,91.481,3.25
2012,2,103.97,374488.1,2.6,3.2,91.671,3.25
2012,3,103.02,377423,2.5,3,91.933,3
2012,4,102.11,391956.1,2.6,2.8,92.175,2.75
2013,1,102.2,372513.3,2.3,3.6,92.906,2.75
2013,2,101.6,390493,3.1,3.1,92.785,2.5
2013,3,101.61,397011.2,3.7,2.9,93.189,2.5
2013,4,101.21,410920.6,4,2.8,93.16,2.5
2014,1,101.64,392080.6,3.8,3.9,93.954,2.5
2014,2,101.51,407696,3.6,3.6,94.277,2.5
2014,3,101.42,411863.3,3,3.3,94.476,2.25
2014,4,99.9,426844.9,2.6,3.2,94.075,2
2015,1,97.93,414691.5,2.7,4.1,94.609,1.75
2015,2,97.86,431746.3,1.9,3.8,94.808,1.5
2015,3,96.95,440884.8,3.5,3.4,95.086,1.5
2015,4,95.48,453453.4,3.6,3.1,94.941,1.5
2016,1,94.67,436001.1,3,4.3,95.422,1.5
2016,2,95.02,457399.1,3.9,3.7,95.605,1.25
2016,3,95.23,462018.4,3,3.5,95.785,1.25
2016,4,96.26,477607.9,2.8,3.2,96.319,1.25
2017,1,98.61,457373.3,3.5,4.3,97.521,1.25
2017,2,98.19,477716.9,3,3.8,97.442,1.25
2017,3,98.44,497511.4,4.1,3.4,97.91,1.25
2017,4,99.09,501632.3,3.2,3.2,97.707,1.5
2018,1,99.77,476772.5,3.2,4.3,98.571,1.5
2018,2,100.21,499011.9,3.3,3.9,98.896,1.5
2018,3,101.2,511507.7,2.6,3.8,99.424,1.5
2018,4,100.56,519682.5,3.5,3.4,99.453,1.75
2019,1,100.07,483744.6,1.9,4.5,99.105,1.75
2019,2,100.61,508588.6,2.4,4.1,99.541,1.75
2019,3,100.63,516955.4,2.2,3.3,99.469,1.5
2019,4,100.51,531305.7,2.7,3.1,99.747,1.25
2020,1,100.5,489061,1.2,4.2,100.06,0.75
2020,2,99.12,502861.3,-2.6,4.4,99.55,0.5
2020,3,100.08,524939.5,-0.8,3.6,100.19,0.5
2020,4,100.29,541604.8,-0.5,3.7,100.2,0.5
2021,1,102.88,515116.3,2.5,5,101.49,0.5
2021,2,105.45,548739.9,7,3.9,102.03,0.5
2021,3,107.55,568371.7,4.6,2.8,102.73,0.75
2021,4,109.63,589685.1,4.3,2.9,103.75,1
2022,1,111.96,553664.8,3.5,3.5,105.46,1.25
2022,2,115.86,581793.9,3,3,107.51,1.75
2022,3,116.63,588594,3.4,2.5,108.73,2.5
2022,4,116.72,599728.8,1.1,2.6,109.16,3
2023,1,116.88,565099.2,1.1,3.2,110.31,3.5
2023,2,116.59,592222.8,1,2.7,111.02,3.5
2023,3,117.35,611097.6,1.4,2.3,112.14,3.5
2023,4,117.61,632769.8,2.1,2.6,112.89,3.5
2024,1,118.52,606213.9,3.3,3.3,113.63,3.5
2024,2,119.21,N/A,2.3,2.9,N/A,3.5
2024,3,119.56,N/A,N/A,N/A,N/A,3.5
